product_id,name,description,price,stock_quantity,created_at,updated_at
1,Product 1,Description for Product 1,19.99,100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
2,Product 2,Description for Product 2,29.99,150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
3,Product 3,Description for Product 3,39.99,200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
4,Product 4,Description for Product 4,49.99,250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
5,Product 5,Description for Product 5,59.99,300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
6,Product 6,Description for Product 6,69.99,350,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
7,Product 7,Description for Product 7,79.99,400,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
8,Product 8,Description for Product 8,89.99,450,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
9,Product 9,Description for Product 9,99.99,500,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
10,Product 10,Description for Product 10,109.99,550,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
11,Product 11,Description for Product 11,119.99,600,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
12,Product 12,Description for Product 12,129.99,650,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
13,Product 13,Description for Product 13,139.99,700,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
14,Product 14,Description for Product 14,149.99,750,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
15,Product 15,Description for Product 15,159.99,800,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
16,Product 16,Description for Product 16,169.99,850,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
17,Product 17,Description for Product 17,179.99,900,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
18,Product 18,Description for Product 18,189.99,950,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
19,Product 19,Description for Product 19,199.99,1000,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
20,Product 20,Description for Product 20,209.99,1050,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
21,Product 21,Description for Product 21,219.99,1100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
22,Product 22,Description for Product 22,229.99,1150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
23,Product 23,Description for Product 23,239.99,1200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
24,Product 24,Description for Product 24,249.99,1250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
25,Product 25,Description for Product 25,259.99,1300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
26,Product 26,Description for Product 26,269.99,1350,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
27,Product 27,Description for Product 27,279.99,1400,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
28,Product 28,Description for Product 28,289.99,1450,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
