transaction_id,user_id,product_id,quantity,total_amount,transaction_date,status
1,1,1,2,39.98,2025-02-12 17:02:07.107082,completed
2,2,2,1,29.99,2025-02-12 17:02:07.107082,completed
3,3,3,5,199.95,2025-02-12 17:02:07.107082,completed
4,4,4,3,149.97,2025-02-12 17:02:07.107082,pending
5,5,5,4,239.96,2025-02-12 17:02:07.107082,failed
6,6,6,2,139.98,2025-02-12 17:02:07.107082,completed
7,7,7,3,239.97,2025-02-12 17:02:07.107082,completed
8,8,8,1,89.99,2025-02-12 17:02:07.107082,completed
9,9,9,2,199.98,2025-02-12 17:02:07.107082,failed
10,10,10,4,439.96,2025-02-12 17:02:07.107082,completed
11,11,11,3,359.97,2025-02-12 17:02:07.107082,pending
12,12,12,5,649.95,2025-02-12 17:02:07.107082,completed
13,13,13,6,719.94,2025-02-12 17:02:07.107082,failed
14,14,14,1,149.99,2025-02-12 17:02:07.107082,completed
15,15,15,4,639.96,2025-02-12 17:02:07.107082,completed
16,16,16,7,1389.93,2025-02-12 17:02:07.107082,completed
17,17,17,2,129.98,2025-02-12 17:02:07.107082,pending
18,18,18,6,1139.94,2025-02-12 17:02:07.107082,completed
19,19,19,3,359.97,2025-02-12 17:02:07.107082,completed
20,20,20,1,209.99,2025-02-12 17:02:07.107082,failed
21,21,21,4,999.96,2025-02-12 17:02:07.107082,completed
22,22,22,3,239.97,2025-02-12 17:02:07.107082,pending
23,23,23,2,139.98,2025-02-12 17:02:07.107082,completed
24,24,24,5,749.95,2025-02-12 17:02:07.107082,completed
25,25,25,6,999.94,2025-02-12 17:02:07.107082,completed
26,26,26,7,1389.93,2025-02-12 17:02:07.107082,failed
27,27,27,4,999.96,2025-02-12 17:02:07.107082,completed
28,28,28,3,299.97,2025-02-12 17:02:07.107082,completed
29,29,29,5,1499.95,2025-02-12 17:02:07.107082,completed
30,30,30,2,139.98,2025-02-12 17:02:07.107082,failed
31,31,31,3,239.97,2025-02-12 17:02:07.107082,pending
32,32,32,1,129.99,2025-02-12 17:02:07.107082,completed
33,33,33,6,1019.94,2025-02-12 17:02:07.107082,completed
34,34,34,2,179.98,2025-02-12 17:02:07.107082,pending
35,35,35,5,899.95,2025-02-12 17:02:07.107082,failed
36,36,36,4,699.96,2025-02-12 17:02:07.107082,completed
37,37,37,1,159.99,2025-02-12 17:02:07.107082,completed
38,38,38,7,1379.93,2025-02-12 17:02:07.107082,pending
39,39,39,3,539.97,2025-02-12 17:02:07.107082,completed
40,40,40,2,139.98,2025-02-12 17:02:07.107082,completed
41,41,41,5,999.95,2025-02-12 17:02:07.107082,completed
42,42,42,3,299.97,2025-02-12 17:02:07.107082,failed
43,43,43,6,1109.94,2025-02-12 17:02:07.107082,completed
44,44,44,4,639.96,2025-02-12 17:02:07.107082,pending
45,45,45,2,179.98,2025-02-12 17:02:07.107082,completed
46,46,46,5,1499.95,2025-02-12 17:02:07.107082,completed
47,47,47,1,109.99,2025-02-12 17:02:07.107082,completed
48,48,48,3,239.97,2025-02-12 17:02:07.107082,completed
49,49,49,2,139.98,2025-02-12 17:02:07.107082,failed
50,50,50,4,599.96,2025-02-12 17:02:07.107082,completed
